Date,Open,High,Low,Close,Volume,Adj Close
2013-06-06,51.15,51.66,50.83,51.52,9848400,51.52
2013-06-05,52.57,52.68,50.91,51.36,14462900,51.36
2013-06-04,53.74,53.75,52.22,52.59,10614700,52.59
2013-06-03,53.86,53.89,52.40,53.41,13127900,53.41
2013-05-31,54.70,54.91,53.99,54.10,12809700,54.10
2013-05-30,55.01,55.69,54.96,55.10,8751200,55.10
2013-05-29,55.15,55.40,54.53,55.05,8693700,55.05
2013-05-28,55.25,56.25,55.21,55.53,9747600,55.53
2013-05-24,53.80,54.65,53.57,54.64,7310000,54.64
2013-05-23,53.69,54.56,53.32,54.48,9468900,54.48
2013-05-22,55.32,55.82,54.13,54.40,11451600,54.40
2013-05-21,55.96,56.11,54.94,54.95,13019300,54.95
2013-05-20,56.56,56.66,55.76,55.95,8759600,55.95
2013-05-17,56.49,57.11,56.47,56.71,11558600,56.71
2013-05-16,56.80,56.90,55.72,55.80,8521500,55.80
2013-05-15,56.27,56.68,56.06,56.65,8568100,56.65
2013-05-14,55.15,56.41,55.14,56.27,9227100,56.27
2013-05-13,55.79,55.80,55.09,55.33,7220600,55.33
2013-05-10,55.39,55.82,55.21,55.65,7125400,55.65
2013-05-09,54.99,55.99,54.79,55.17,9298100,55.17
2013-05-08,54.01,54.98,53.77,54.96,7027500,54.96
2013-05-07,53.93,54.13,53.10,53.94,9680000,53.94
2013-05-06,54.06,54.82,53.76,54.09,6354000,54.09
2013-05-03,54.00,54.51,53.60,54.21,7207400,54.21
2013-05-02,52.42,53.70,52.03,53.55,9885100,53.55
2013-05-01,52.38,52.87,51.92,52.40,7917200,52.40
2013-04-30,52.67,53.14,52.13,52.39,9056900,52.39
2013-04-29,52.61,52.99,52.21,52.84,7171300,52.84
2013-04-26,52.40,52.86,51.89,52.54,10612400,52.54
2013-04-25,53.31,53.36,52.07,52.36,11477200,52.36
2013-04-24,53.00,53.33,52.64,52.97,10227600,52.97
2013-04-23,51.96,52.77,51.85,52.49,12678600,52.49
2013-04-22,52.14,52.32,51.16,51.63,13761200,51.63
2013-04-19,52.77,53.24,51.90,52.39,15600000,52.39
2013-04-18,53.85,54.24,52.73,52.82,25357100,52.82
2013-04-17,56.49,56.83,55.65,56.10,14684600,56.10
2013-04-16,56.19,57.15,56.00,57.01,8629600,57.01
2013-04-15,56.98,57.48,55.69,55.84,9197900,55.84
2013-04-12,57.90,57.90,56.81,57.31,6315400,57.31
2013-04-11,57.42,58.04,57.21,57.78,7291200,57.78
2013-04-10,56.33,57.58,56.28,57.30,8001300,57.30
2013-04-09,55.44,56.45,55.32,56.07,6264200,56.07
2013-04-08,55.42,56.84,55.29,55.87,10187600,55.87
2013-04-05,54.73,55.59,54.50,55.52,7236300,55.52
2013-04-04,55.34,55.87,55.10,55.79,5906800,55.79
2013-04-03,55.81,56.00,55.32,55.50,11496400,55.50
2013-04-02,56.26,56.79,55.95,56.16,15229100,56.16
